artist_name,festival_day,event_date,stage,set_time,billing_tier,headliner_flag,source_url,artist_popularity_score
Dom Dolla,Thursday,2025-07-31,Toyota Music Den,8:30pm - 9:45pm,Headliner,1,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,85
2Hollis,Thursday,2025-07-31,Toyota Music Den,7:45pm - 8:30pm,Headliner,1,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,85
Alex Warren,Thursday,2025-07-31,Toyota Music Den,7:45pm - 8:30pm,Upper,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,65
Cage The Elephant,Thursday,2025-07-31,Toyota Music Den,6:45pm - 7:45pm,Upper,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,65
Xaviersobased,Thursday,2025-07-31,Toyota Music Den,6:50pm - 7:30pm,Upper,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,65
Overmono,Thursday,2025-07-31,Toyota Music Den,6:30pm - 7:15pm,Upper,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,65
Cloonee,Thursday,2025-07-31,Toyota Music Den,5:50pm - 6:50pm,Upper,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,65
Role Model,Thursday,2025-07-31,Toyota Music Den,5:45pm - 6:45pm,Upper,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,65
Yana,Thursday,2025-07-31,Toyota Music Den,6pm - 6:30pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,45
Colby Acuff,Thursday,2025-07-31,Toyota Music Den,5:40pm - 6:20pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,45
Sierra Ferrell,Thursday,2025-07-31,Toyota Music Den,4:45pm - 5:45pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,45
Jade Lemac,Thursday,2025-07-31,Toyota Music Den,5pm - 5:30pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,45
The Blessed Madonna,Thursday,2025-07-31,Toyota Music Den,4:20pm - 5:20pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,45
Bo Staloch,Thursday,2025-07-31,Toyota Music Den,4:30pm - 5:10pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,45
Fcukers,Thursday,2025-07-31,Toyota Music Den,4pm - 4:45pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,45
Half Alive,Thursday,2025-07-31,Toyota Music Den,3:45pm - 4:45pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,45
Sofia Camara,Thursday,2025-07-31,Toyota Music Den,4pm - 4:30pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,45
Prospa,Thursday,2025-07-31,Toyota Music Den,3:10pm - 4:10pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,45
Mark Ambor,Thursday,2025-07-31,Toyota Music Den,3pm - 3:45pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,45
Sunami,Thursday,2025-07-31,Toyota Music Den,2:50pm - 3:30pm,Mid,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,45
Girl Tones,Thursday,2025-07-31,Toyota Music Den,3pm - 3:30pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Alexsucks,Thursday,2025-07-31,Toyota Music Den,2:10pm - 2:50pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Black Party,Thursday,2025-07-31,Toyota Music Den,1:50pm - 2:30pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Bo Staloch,Thursday,2025-07-31,Toyota Music Den,2pm - 2:30pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Ratboys,Thursday,2025-07-31,Toyota Music Den,1:30pm - 2:15pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Torren Foot b2b Airwolf Paradise,Thursday,2025-07-31,Toyota Music Den,12:55pm - 1:50pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Girl Tones,Thursday,2025-07-31,Toyota Music Den,1pm - 1:40pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
The Droptines,Thursday,2025-07-31,Toyota Music Den,12:50pm - 1:30pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Jade Lemac,Thursday,2025-07-31,Toyota Music Den,12:45pm - 1:30pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
