artist_name,festival_day,event_date,stage,set_time,source_url,billing_tier,headliner_flag
Nourished By Time,Thursday,2025-07-31,Toyota Music Den,1:15pm - 2pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Headliner,1
Durand Bernarr,Thursday,2025-07-31,Toyota Music Den,3pm - 4pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Headliner,1
Barry Can'T Swim,Thursday,2025-07-31,Toyota Music Den,5pm - 6pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Upper,0
Gracie Abrams,Thursday,2025-07-31,Toyota Music Den,7pm - 8pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Upper,0
"Tyler, The Creator",Thursday,2025-07-31,Toyota Music Den,9pm - 10pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Upper,0
Dj Heather,Thursday,2025-07-31,Toyota Music Den,12pm - 12:45pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Upper,0
Torren Foot B2B Airwolf Paradise,Thursday,2025-07-31,Toyota Music Den,12:55pm - 1:50pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Upper,0
Azzecca,Thursday,2025-07-31,Toyota Music Den,2pm - 3pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Upper,0
Prospa,Thursday,2025-07-31,Toyota Music Den,3:10pm - 4:10pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Mid,0
The Blessed Madonna,Thursday,2025-07-31,Toyota Music Den,4:20pm - 5:20pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Mid,0
Cloonee,Thursday,2025-07-31,Toyota Music Den,5:50pm - 6:50pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Mid,0
Mau P,Thursday,2025-07-31,Toyota Music Den,7pm - 8pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Mid,0
Dom Dolla,Thursday,2025-07-31,Toyota Music Den,8:30pm - 9:45pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Mid,0
The Symposium,Thursday,2025-07-31,Toyota Music Den,12:30pm - 1:15pm,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,Mid,0
